Building custom linters...
Running custom linters (largefunc max-lines=60)...
/home/runner/work/gh-aw/gh-aw/pkg/workflow/dependabot.go:906:20: generateGoMod is 70 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/dispatch_repository.go:30:20: parseDispatchRepositoryConfig is 93 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/dispatch_repository_validation.go:20:20: validateDispatchRepository is 82 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/dispatch_workflow_validation.go:19:20: validateDispatchWorkflow is 128 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/docker.go:19:6: collectDockerImages is 205 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/docker_validation.go:108:6: validateDockerImage is 118 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/engine_definition_loader.go:107:6: loadBuiltinEngineDefinitions is 69 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/engine_validation.go:425:20: validateSingleEngineSpecification is 73 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/error_recovery.go:149:6: prioritizeErrorMessages is 66 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/error_recovery.go:262:6: classifyErrorMessage is 108 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/evals_job.go:24:20: buildEvalsJob is 83 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/evals_job.go:112:20: buildPushEvalsStateJob is 79 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/evals_steps.go:157:20: buildEvalsEngineSteps is 138 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/event_validation.go:109:6: ValidateEventTypes is 67 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/expression_optimizer.go:209:6: optimizeAndNode is 105 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/expression_optimizer.go:317:6: optimizeOrNode is 63 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/expression_optimizer.go:445:6: optimizeDisjunctionNode is 95 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/expression_parser.go:86:28: tokenize is 100 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/expression_parser.go:324:6: BreakLongExpression is 81 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/expression_safety_validation.go:36:6: validateExpressionSafety is 100 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/expression_safety_validation.go:181:6: validateSingleExpression is 86 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/expression_syntax_validation.go:168:6: validateBalancedQuotes is 61 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/filters.go:12:20: applyPullRequestDraftFilter is 88 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/filters.go:106:20: applyPullRequestForkFilter is 86 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/filters.go:197:20: applyLabelFilter is 235 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_error.go:79:20: createFrontmatterError is 69 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_extraction_security.go:72:20: extractSandboxConfig is 70 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_extraction_security.go:146:20: extractAgentSandboxConfig is 196 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_extraction_security.go:348:20: extractMCPGatewayConfig is 192 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_extraction_security.go:544:20: extractSRTConfig is 134 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_extraction_yaml.go:46:20: extractTopLevelYAMLSection is 77 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_parsing.go:12:6: ParseFrontmatterConfig is 88 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_parsing.go:143:6: parseRuntimesConfig is 97 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_parsing.go:244:6: parsePermissionsConfig is 116 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_serialization.go:63:30: ToMap is 169 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/frontmatter_serialization.go:315:6: permissionsConfigToMap is 158 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/gemini_engine.go:180:24: GetExecutionSteps is 228 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/gemini_tools.go:44:6: computeGeminiToolsCore is 65 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/gh_cli_permissions.go:78:92: func literal is 86 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/gh_cli_permissions.go:283:6: inferPermissionsFromShellScripts is 66 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/github_toolsets.go:28:6: ParseGitHubToolsets is 72 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/glob_validation.go:87:25: validateNext is 96 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/header.go:24:6: GenerateWorkflowHeader is 66 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/imports.go:188:20: MergeSafeOutputs is 138 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/imports.go:344:6: mergeSafeOutputConfig is 161 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/jobs.go:209:23: renderJobTo is 193 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/js.go:100:6: removeJavaScriptCommentsFromLine is 105 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/js.go:256:6: isInsideRegexLiteral is 61 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/known_needs_expressions.go:35:6: generateKnownNeedsExpressions is 76 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/lock_validation.go:71:6: ValidateActionSHAsInLockFile is 61 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/lsp_manager.go:99:22: GenerateInstallSteps is 105 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/maintenance_workflow.go:138:6: GenerateMaintenanceWorkflow is 189 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/maintenance_workflow.go:398:6: scanWorkflowsForExpires is 66 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/markdown_security_scanner.go:222:6: scanUnicodeAbuse is 70 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/markdown_security_scanner.go:419:6: scanObfuscatedLinks is 90 lines long (limit: 60); consider breaking it up
